movie_name,sns_score,movie_cover_url,movie_video_url
肖申克的救赎,9.6,https://pic4.iqiyipic.com/image/20231109/4f/9f/v_111393030_m_601_m12.webp,https://www.iqiyi.com/v_19rra0h3wg.html
冬至,8.3,http://pic8.iqiyipic.com/image/20241220/37/d9/v_179209610_m_601.webp,http://www.iqiyi.com/v_a4b2a26c7!.html
阿甘正传,9.6,https://pic7.iqiyipic.com/image/20231109/5f/3c/v_50113796_m_601_m15.webp,https://www.iqiyi.com/v_19rrk3u264.html
一伞烟雨,,http://pic4.iqiyipic.com/image/20241216/e7/03/v_179176859_m_601_m1.webp,http://www.iqiyi.com/v_74810cb17!.html
肖申克的救赎（普通话）,9.6,https://pic5.iqiyipic.com/image/20231109/c8/2c/v_147676300_m_601_m10.webp,https://www.iqiyi.com/v_19ryh825vc.html
一伞烟雨,,http://pic0.iqiyipic.com/image/20241216/4c/8b/v_179176864_m_601_m1.webp,http://www.iqiyi.com/v_70f4cc484!.html
辛德勒的名单 ,9.5,https://pic6.iqiyipic.com/image/20240903/45/d7/v_106675767_m_601_m21.webp,https://www.iqiyi.com/v_19rrhx0z4o.html
背靠背，脸对脸,9.5,https://pic4.iqiyipic.com/image/20241009/eb/e0/v_50006628_m_601_m23.webp,https://www.iqiyi.com/v_19rrj5wnp8.html
泰坦尼克号,9.5,https://pic4.iqiyipic.com/image/20231109/30/2e/v_108833873_m_601_m18.webp,https://www.iqiyi.com/v_19rrny4w8w.html
美丽人生,9.5,https://pic3.iqiyipic.com/image/20231109/99/03/v_50328473_m_601_m20.webp,https://www.iqiyi.com/v_19rrjqfdbc.html
冬至,8.3,http://pic7.iqiyipic.com/image/20241220/a5/5a/v_179213139_m_601.webp,http://www.iqiyi.com/v_469474287!.html
我是山姆,9.2,https://pic5.iqiyipic.com/image/20230629/f6/ea/v_111464801_m_601_m9.webp,https://www.iqiyi.com/v_19rra63ny4.html
哈利·波特2:密室,9.2,https://pic5.iqiyipic.com/image/20231113/d2/4a/v_50076813_m_601_m16.webp,https://www.iqiyi.com/v_19rrjbeuig.html
马戏团,9.2,https://pic2.iqiyipic.com/image/20210916/2a/d5/v_110597080_m_601_m4.webp,https://www.iqiyi.com/v_19rrliyrfo.html
哈利·波特3:阿兹卡班的囚徒,9.2,https://pic9.iqiyipic.com/image/20231110/af/62/v_50076796_m_601_m14.webp,https://www.iqiyi.com/v_19rrjbevto.html
决战之后（下集）,9.2,https://pic9.iqiyipic.com/image/20240903/c0/7e/v_50006601_m_601_m14.webp,https://www.iqiyi.com/v_19rrj5wz1k.html
姐姐妹妹站起来,9.2,https://pic8.iqiyipic.com/image/20210915/8a/28/v_147842368_m_601_m7.webp,https://www.iqiyi.com/v_19ry5vl7jo.html
姊姊妹妹站起来,9.2,https://pic2.iqiyipic.com/image/20240903/49/d2/v_108787772_m_601_m10.webp,https://www.iqiyi.com/v_19rrn6o2lk.html
教父3,9.2,https://pic9.iqiyipic.com/image/20231110/e2/22/v_50116160_m_601_m17.webp,https://www.iqiyi.com/v_19rrk408h8.html
阿甘正传（普通话）,9.5,https://pic0.iqiyipic.com/image/20230629/17/c8/v_123622270_m_601_m9.webp,https://www.iqiyi.com/v_19rqpqcijk.html
风中的火焰,,http://pic1.iqiyipic.com/image/20241226/19/29/v_179275018_m_601.webp,http://www.iqiyi.com/v_56a9bc824!.html
泰坦尼克号（普通话）,9.5,https://pic4.iqiyipic.com/image/20230628/74/c0/v_153871228_m_601_m4.webp,https://www.iqiyi.com/v_1lu8c0ub5bc.html
美丽人生（普通话）,9.5,https://pic9.iqiyipic.com/image/20231109/be/de/v_171436888_m_601_m5.webp,https://www.iqiyi.com/v_2eqz8eaj84w.html
星际穿越,9.4,https://pic3.iqiyipic.com/image/20240903/6b/83/v_112855161_m_601_m28.webp,https://www.iqiyi.com/v_19rr7qhp7c.html
盗梦空间,9.4,https://pic7.iqiyipic.com/image/20231109/9d/23/v_111465024_m_601_m17.webp,https://www.iqiyi.com/v_19rra64i9c.html
跨过鸭绿江,9.4,https://pic4.iqiyipic.com/image/20231109/8f/69/v_164749174_m_601_m9.webp,https://www.iqiyi.com/v_17fzx1d3b2c.html
冬至,8.3,http://pic7.iqiyipic.com/image/20241220/a5/5a/v_179213139_m_601.webp,http://www.iqiyi.com/v_469474287!.html
无间道,9.4,https://pic7.iqiyipic.com/image/20231110/47/a1/v_50023439_m_601_m18.webp,https://www.iqiyi.com/v_19rrjefg34.html
阿凡达,9.2,https://pic5.iqiyipic.com/image/20231109/c0/2e/v_170843391_m_601_m8.webp,https://www.iqiyi.com/v_20krtha8qxs.html
寻子遇仙记（1921）,9.2,https://pic3.iqiyipic.com/image/20230630/a5/56/v_112847131_m_601_m7.webp,https://www.iqiyi.com/v_19rr7r9t0o.html
风中的火焰,,http://pic1.iqiyipic.com/image/20241226/19/29/v_179275018_m_601.webp,http://www.iqiyi.com/v_56a9bc824!.html
入殓师（普通话）,9.2,https://pic2.iqiyipic.com/image/20231109/4e/34/v_172326037_m_601_m7.webp,https://www.iqiyi.com/v_1w6niovg9fo.html
夜未央,,http://pic4.iqiyipic.com/image/20241127/bc/c9/v_179035419_m_601_m1.webp,http://www.iqiyi.com/v_b24d120ba!.html
哈利·波特2:密室(普通话),9.2,https://pic0.iqiyipic.com/image/20211217/5c/d8/v_145920251_m_601_m7.webp,https://www.iqiyi.com/v_19rxbagl6w.html
教父2（普通话）,9.2,https://pic6.iqiyipic.com/image/20230629/d6/d8/v_147751460_m_601_m8.webp,https://www.iqiyi.com/v_19ryiczkv4.html
教父3（普通话）,9.2,https://pic4.iqiyipic.com/image/20230629/a8/8e/v_147656583_m_601_m8.webp,https://www.iqiyi.com/v_19rykrh7l8.html
白月梵星,,http://pic0.iqiyipic.com/image/20250107/6d/b4/v_179529347_m_601.webp,http://www.iqiyi.com/v_64efe1e6d!.html
哈利·波特7:死亡圣器(下）（普通话）,9.2,https://pic3.iqiyipic.com/image/20231110/b9/57/v_145798251_m_601_m10.webp,https://www.iqiyi.com/v_19rx4rx4r0.html
白月梵星,,http://pic3.iqiyipic.com/image/20250107/90/a6/v_179529366_m_601.webp,http://www.iqiyi.com/v_11734ab6f!.html
哈利波特3阿兹卡班囚徒(普通话),9.2,https://pic8.iqiyipic.com/image/20211217/6f/ec/v_145796241_m_601_m8.webp,https://www.iqiyi.com/v_19rx4tfo4c.html
楚门的世界,9.4,https://pic2.iqiyipic.com/image/20231109/d9/06/v_50113739_m_601_m19.webp,https://www.iqiyi.com/v_19rrk3u9wg.html
